SimulationName	Country	TrialLocation	Clock.Today	Barley.Leaf.Live.Wt	Barley.Stem.Wt	Barley.Ear.Wt	Barley.Grain.Wt	TotalAboveGroundWt	Barley.Leaf.LAI	Barley.Leaf.CoverGreen	Barley.Phenology.Zadok.Stage	Barley.Phenology.FlagLeafDAS.Value()	Barley.Phenology.FloweringDAS.Value()	Barley.Structure.LeafTipsAppeared
Field2015_16_125N	NZ	Field	2016-03-14	*	*	*	678.5	1099.5	*	*	*	*	*	*
Barley_HB90Sow1_3	AUS	Field	1990-10-22	*	*	*	516.4	1604	*	*	*	*	*	*
Barley_HB90Sow2_3	AUS	Field	1990-11-13	*	*	*	521.8	1599	*	*	*	*	*	*
Barley_HB90Sow3_3	AUS	Field	1990-12-01	*	*	*	599.7	1300	*	*	*	*	*	*
Barley_HRS87-2HP_1	AUS	Field	1987-09-18	*	*	*	196.86	780.96	*	*	*	*	*	*
Barley_HRS87-2LP_1	AUS	Field	1987-09-18	*	*	*	384.57	800.62	*	*	*	*	*	*
Barley_HRS87-2MP_1	AUS	Field	1987-09-18	*	*	*	464.05	1044.29	*	*	*	*	*	*
Barley_HRS87-3HP_1	AUS	Field	1987-10-18	*	*	*	366.64	835.75	*	*	*	*	*	*
Barley_HRS87-2HP_1	AUS	Field	1987-09-18	*	*	*	196.86	780.96	*	*	*	*	*	*
Barley_HRS87-2LP_1	AUS	Field	1987-09-18	*	*	*	384.57	800.62	*	*	*	*	*	*
Barley_HRS87-2MP_1	AUS	Field	1987-09-18	*	*	*	464.05	1044.29	*	*	*	*	*	*
Barley_HRS87-3HP_1	AUS	Field	1987-10-18	*	*	*	366.64	835.75	*	*	*	*	*	*
Barley_HRS87-3LP_1	AUS	Field	1987-10-18	*	*	*	409.01	956.72	*	*	*	*	*	*
Barley_HRS87-3MP_1	AUS	Field	1987-10-18	*	*	*	416.98	969.54	*	*	*	*	*	*
Barley_HRSRO-DD_1	AUS	Field	1991-11-10	*	*	*	112.964	354	*	*	*	*	*	*
Barley_HRSRO-DI_1	AUS	Field	1991-11-19	*	*	*	322.7365	769.05	*	*	*	*	*	*
Barley_HRSRO-II_1	AUS	Field	1991-11-17	*	*	*	431.1305	1049.5	*	*	*	*	*	*
Barley_R88-1HP_1	AUS	Field	1988-08-31	*	*	*	157.18	756.23	*	*	*	*	*	*
Barley_R88-1LP_1	AUS	Field	1988-08-31	*	*	*	245.69	785.43	*	*	*	*	*	*
Barley_R88-1MP_1	AUS	Field	1988-08-31	*	*	*	204.78	772.54	*	*	*	*	*	*
Barley_R88-2HP_1	AUS	Field	1988-09-19	*	*	*	248.48	891.64	*	*	*	*	*	*
Barley_R88-2LP_1	AUS	Field	1988-09-19	*	*	*	370.29	1067.09	*	*	*	*	*	*
Barley_R88-2MP_1	AUS	Field	1988-09-19	*	*	*	300.71	942.53	*	*	*	*	*	*
Barley_R88-3HP_1	AUS	Field	1988-10-03	*	*	*	397.42	1036.28	*	*	*	*	*	*
Barley_R88-3LP_1	AUS	Field	1988-10-03	*	*	*	571.58	1299.16	*	*	*	*	*	*
Barley_R88-3MP_1	AUS	Field	1988-10-03	*	*	*	442.72	1127.64	*	*	*	*	*	*
Barley_R88-4HP_1	AUS	Field	1988-10-17	*	*	*	228.57	691.31	*	*	*	*	*	*
Barley_R88-4LP_1	AUS	Field	1988-10-17	*	*	*	227.72	659.69	*	*	*	*	*	*
Barley_R88-4MP_1	AUS	Field	1988-10-17	*	*	*	252.67	717.21	*	*	*	*	*	*
Barley_Well360_1	AUS	Field	1993-12-20	*	*	*	516.4	1605	*	*	*	*	*	*
